#   colore      magnitudine
#
      0.6717     -5.3649
      0.6717     -5.3649
      0.5600     -5.7932
      0.4902     -6.1841
      0.3552     -5.8863
      0.3505     -5.8118
      0.3505     -5.7745
      0.3319     -5.5697
      0.3319     -5.5139
      0.3319     -5.5139
      0.7089     -5.4394
      0.7229     -5.4394
      0.7229     -5.4394
      0.9928     -4.6016
      0.9835     -4.6388
      0.9835     -4.6388
      1.4908     -5.0112
      1.3884     -5.6256
      1.3884     -5.6628
      1.3884     -5.6628
      1.3884     -5.6628
      1.7887     -5.6628
      1.7655     -5.6628
      1.7561     -5.6628
      1.7561     -7.1337
      1.7561     -7.1337
      1.7794     -6.4076
      1.7794     -6.3331
      1.7561     -6.3331
      1.7561     -6.3331
      1.6537     -5.7559
      1.6584     -4.8623
      1.6724     -4.8623
      1.6724     -5.2719
      1.6724     -5.2719
      1.6724     -5.2719
      1.6724     -5.2719
      1.6351     -5.7373
      1.5932     -5.8304
      1.5932     -5.8304
      1.5932     -5.8304
      1.6677     -6.0538
      1.6677     -6.0538
      1.4722     -6.3703
      1.7236     -9.5165
      1.3233     -8.6787
      1.3279    -10.1495
      1.1324    -10.2426
      1.1324    -10.2426
      1.3047     -8.7345
      1.2628     -8.7345
      1.3233     -7.0220
      1.3372     -7.0220
      1.4210     -7.0220
      0.8905     -9.6468
      0.9416     -8.4367
      0.6717     -5.9607
      0.6717     -5.8304
      0.6717     -5.8304
      0.6996     -5.7745
      0.7229     -5.5511
      0.7881     -5.2905
      0.8579     -5.1229
      0.9137     -5.1229
      0.9556     -5.1601
      1.0068     -5.1601
      0.9881     -5.1601
      0.9881     -5.1601
      0.9881     -5.1601
      1.2255     -5.1601
      1.2162     -5.1601
      1.2255     -5.0484
      1.2488     -5.0298
      1.3884     -5.0671
      1.3884     -5.0671
      1.3605     -6.6124
      0.9975     -5.3091
      0.9788     -5.3091
      0.9602     -5.3091
      0.7881     -5.7559
      0.7881     -5.7559
      0.7881     -5.7559
      0.5879     -6.1469
      0.5879     -6.1469
      0.5740     -7.1151
      0.4343     -7.0220
      0.4343     -6.5565
      0.4343     -6.2214
      0.3599     -7.6922
      0.3599     -7.6922
      0.3505     -7.2826
      0.3505     -7.0220
      0.3459     -6.6682
      0.4716     -4.2479
      0.4716     -4.8436
      0.5833     -4.6388
